Company Name,CEO,Headquarter,Jan 2020 Rank,Jan 2020 Market Capitalization,July 2020 Rank,July 2020 Market Capitalization,Aug 2020 Rank,Aug 2020 Market Capitalization,Jan 2021 Rank,Jan 2021 Market Capitalization,Logo,URL
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),Amin H. Al-Nasser,Saudi Arabia,1,"1,898.100 Billion USD",1,"1,953.180 Billion USD",2,"1,997.390 Billion USD",2,"2,051.500 Billion USD",https://value.today/sites/default/files/styles/medium/public/2020-05/saudi-aaramco.JPG?itok=aNP5GBsE,https://www.saudiaramco.com/
APPLE,Tim Cook,USA,2,"1,323.000 Billion USD",2,"1,578.000 Billion USD",1,"2,127.000 Billion USD",1,"2,256.000 Billion USD",https://value.today/sites/default/files/styles/medium/public/2020-05/Apple.jpg?itok=tfuZcdsp,https://www.apple.com/
MICROSOFT CORPORATION,Satya Nadella,USA,3,"1,215.000 Billion USD",3,"1,564.000 Billion USD",4,"1,612.000 Billion USD",3,"1,682.000 Billion USD",https://value.today/sites/default/files/styles/medium/public/2020-05/Microsoft.jpg?itok=_vYmm6fS,https://www.microsoft.com/
ALPHABET,Sundar Pichai,USA,4,943.897 Billion USD,5,"1,002.000 Billion USD",5,"1,073.000 Billion USD",5,"1,185.000 Billion USD",https://value.today/sites/default/files/styles/medium/public/2020-05/Alphabet.jpg?itok=Jj27D9zR,https://abc.xyz/
AMAZON.COM,Jeff Bezos,USA,5,941.028 Billion USD,4,"1,442.000 Billion USD",3,"1,645.000 Billion USD",4,"1,634.000 Billion USD",https://value.today/sites/default/files/styles/medium/public/2020-05/amazon.jpg?itok=t0iBs8ya,https://www.amazon.com/
FACEBOOK,Mark Zuckerberg,USA,6,598.240 Billion USD,6,665.037 Billion USD,6,760.663 Billion USD,6,778.040 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/Facebook.jpg?itok=GaqrYU6X,https://www.facebook.com/
ALIBABA GROUP HOLDING,Daniel Zhang,China,7,591.594 Billion USD,8,593.654 Billion USD,7,733.422 Billion USD,9,648.320 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/Alibaba.jpg?itok=FwCUWvio,https://www.alibaba.com/
BERKSHIRE HATHAWAY,Warren Buffett,USA,8,555.390 Billion USD,9,434.083 Billion USD,9,495.244 Billion USD,10,543.680 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/berkshire-hathway.jpg?itok=tUU_MmQm,https://www.berkshirehathaway.com/
TENCENT,Ma Huateng,China,9,478.594 Billion USD,7,639.018 Billion USD,8,645.320 Billion USD,7,697.260 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/Tencent.jpg?itok=UNx91OTp,https://www.tencent.com
J P MORGAN CHASE & CO,Jamie Dimon,USA,10,438.072 Billion USD,21,282.337 Billion USD,23,296.592 Billion USD,17,387.330 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/JP-MORGAN-CHASE.jpg?itok=oeLY0n62,https://www.jpmorganchase.com/
VISA,Alfred F Kelly Jr,USA,11,421.515 Billion USD,10,429.807 Billion USD,10,448.155 Billion USD,13,482.170 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/visa.jpg?itok=RBLnt4ik,https://usa.visa.com/
JOHNSON & JOHNSON,Alex Gorsky,USA,12,383.148 Billion USD,11,371.646 Billion USD,11,402.190 Billion USD,14,414.310 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/johnson-johnson.jpg?itok=paBb7kF0,https://www.jnj.com/
WALMART,Doug McMillon,USA,13,337.454 Billion USD,13,337.597 Billion USD,14,372.770 Billion USD,15,407.840 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/walmart.jpg?itok=m9WfxUaC,https://www.walmart.com/
SAMSUNG ELECTRONICS,Kim Hyun Suk,South Korea,14,320.010 Billion USD,18,294.911 Billion USD,18,313.970 Billion USD,11,501.160 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/samsung.jpg?itok=sspeHB9x,https://www.samsung.com
BANK OF AMERICA CORPORATION,Brian Moynihan,USA,15,317.977 Billion USD,36,202.055 Billion USD,33,216.429 Billion USD,29,262.200 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bank-of-america.jpg?itok=A-_4dIev,https://www.bankofamerica.com/
NESTLE AG,Ulf Mark Schneider,Switzerland,16,311.592 Billion USD,14,322.002 Billion USD,15,348.486 Billion USD,20,336.110 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/nestle.jpg?itok=lWxekhvy,https://www.nestle.com/
PROCTER & GAMBLE COMPANY,David S. Taylor,USA,17,307.761 Billion USD,17,299.255 Billion USD,16,341.688 Billion USD,19,345.010 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/p%26g.jpg?itok=0GQ6daJV,https://us.pg.com/
MASTERCARD,Ajaypal Singh Banga,USA,18,303.919 Billion USD,15,303.551 Billion USD,17,337.457 Billion USD,18,355.840 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/mastercard.jpg?itok=XwW4GnFS,https://www.mastercard.us/
ICBC,Nicolas Jimenez,China,19,301.266 Billion USD,22,272.860 Billion USD,25,247.440 Billion USD,27,277.360 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/icbc.jpg?itok=naSCGNp-,https://www.icbc.com/
EXXON MOBIL CORPORATION,Darren Woods,USA,20,298.484 Billion USD,45,186.477 Billion USD,51,173.400 Billion USD,59,174.290 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/exxonmobil.jpg?itok=TTW7Wra0,https://corporate.exxonmobil.com/
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY,C. C. Wei,Taiwan,21,293.315 Billion USD,19,283.748 Billion USD,13,373.509 Billion USD,12,488.130 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/tsmc.jpg?itok=WLHRPf-F,https://www.tsmc.com/
AT&T,John T. Stankey,USA,22,283.872 Billion USD,30,214.320 Billion USD,36,211.541 Billion USD,44,204.940 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/at%26t.jpg?itok=ejOnfkqj,https://www.att.com/
ROCHE HOLDING AG,Severin Schwan,Switzerland,23,279.684 Billion USD,16,300.503 Billion USD,21,301.015 Billion USD,25,295.780 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/roche.jpg?itok=oxXkOO7f,https://www.roche.com/
UNITEDHEALTH GROUP,David S. Wichmann,USA,24,275.376 Billion USD,20,282.864 Billion USD,22,298.539 Billion USD,21,332.730 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/unitedhealthgroup.jpg?itok=-Ij6AUta,https://www.unitedhealthgroup.com/
THE WALT DISNEY COMPANY,Bob Chapek,USA,25,267.116 Billion USD,35,202.627 Billion USD,29,230.292 Billion USD,22,328.020 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/waltdisney.jpg?itok=kGnm7NpJ,https://www.thewaltdisneycompany.com/
